01F0005N ,(基?-基?端) 
01F0005S ,(基?端-基?) 
01F0017N ,(八堵-基?) 
01F0017S ,(基?-八堵) 
01F0029N ,(大華系統-八堵) 
01F0029S ,(八堵-大華系統) 
01F0061N ,(五堵-大華系統) 
01F0061S ,(大華系統-五堵) 
01F0099N ,(汐止&汐止系統(?)-五堵) 
01F0099S ,(五堵-汐止&汐止系統(?)) 
01F0147N ,(東湖-汐止&汐止系統(南)) 
01F0147S ,(汐止&汐止系統(南)-東湖) 
01F0155N ,(內湖-東湖) 
01F0155S ,(東湖-內湖) 
01F0182S ,(內湖-圓山) 
01F0213N ,(圓山-內湖) 
01F0233N ,(台?-圓山) 
01F0248S ,(圓山-台?) 
01F0256N ,(三重-台?) 
01F0264S ,(台?-三重) 
01F0293N ,(五股-三重) 
01F0293S ,(三重-五股) 
01F0339N ,(高公局-五股) 
01F0339S ,(五股-高公局) 
01F0376N ,(?口(?)-高公局) 
01F0376S ,(高公局-?口(?)) 
01F0413N ,(?口(南)-?口(?)) 
01F0413S ,(?口(?)-?口(南)) 
01F0467N ,(桃園-?口(南)) 
01F0467S ,(?口(南)-桃園) 
01F0509N ,(機場系統-桃園) 
01F0509S ,(桃園-機場系統) 
01F0532N ,(中壢服務區-機場系統) 
01F0532S ,(機場系統-中壢服務區) 
01F0557N ,(內壢-中壢服務區) 
01F0557S ,(中壢服務區-內壢) 
01F0578S ,(內壢-中壢) 
01F0584N ,(中壢-內壢) 
01F0633N ,(平鎮系統-中壢) 
01F0633S ,(中壢-平鎮系統) 
01F0664N ,(幼獅-平鎮系統) 
01F0664S ,(平鎮系統-幼獅) 
01F0681N ,(楊梅-幼獅) 
01F0681S ,(幼獅-楊梅) 
01F0750N ,(湖口-楊梅) 
01F0750S ,(楊梅-湖口) 
01F0880N ,(竹?-湖口) 
01F0880S ,(湖口-竹?) 
01F0928N ,(新竹(?)-竹?) 
01F0928S ,(竹?-新竹(?)) 
01F0950S ,(新竹(?)-新竹(南)) 
01F0956N ,(新竹(南)-新竹(?)) 
01F0979N ,(新竹系統-新竹(南)) 
01F0980S ,(新竹(南)-新竹系統) 
01F1045N ,(頭份-新竹系統) 
01F1045S ,(新竹系統-頭份) 
01F1123N ,(頭屋-頭份) 
01F1123S ,(頭份-頭屋) 
01F1292N ,(苗?-頭屋) 
01F1292S ,(頭屋-苗?) 
01F1389N ,(銅鑼-苗?) 
01F1389S ,(苗?-銅鑼) 
01F1465N ,(三義-銅鑼) 
01F1465S ,(銅鑼-三義) 
01F1572N ,(后?(?)-三義) 
01F1572S ,(三義-后?(?)) 
01F1621N ,(台中系統-后?(南)) 
01F1621S ,(后?(南)-台中系統) 
01F1664N ,(豐原-台中系統) 
01F1664S ,(台中系統-豐原) 
01F1725N ,(大雅-豐原) 
01F1725S ,(豐原-大雅) 
01F1774N ,(台中-大雅) 
01F1774S ,(大雅-台中) 
01F1802N ,(南屯-台中) 
01F1802S ,(台中-南屯) 
01F1839N ,(王田-南屯) 
01F1839S ,(南屯-王田) 
01F1906N ,(彰化系統-王田) 
01F1906S ,(王田-彰化系統) 
01F1960N ,(彰化(?)-彰化系統) 
01F1960S ,(彰化系統-彰化(?)) 
01F2011N ,(埔鹽系統-彰化(南)) 
01F2011S ,(彰化(南)-埔鹽系統) 
01F2089N ,(員?-埔鹽系統) 
01F2089S ,(埔鹽系統-員?) 
01F2156N ,(?斗-員?) 
01F2156S ,(員?-?斗) 
01F2249N ,(西?-?斗) 
01F2249S ,(?斗-西?) 
01F2322N ,(虎尾-西?) 
01F2322S ,(西?-虎尾) 
01F2394N ,(斗南-虎尾) 
01F2394S ,(虎尾-斗南) 
01F2425N ,(雲?系統-斗南) 
01F2425S ,(斗南-雲?系統) 
01F2483N ,(大?-雲?系統) 
01F2483S ,(雲?系統-大?) 
01F2514N ,(民雄-大?) 
01F2514S ,(大?-民雄) 
01F2603N ,(嘉義-民雄) 
01F2603S ,(民雄-嘉義) 
01F2674N ,(水上-嘉義) 
01F2674S ,(嘉義-水上) 
01F2714N ,(嘉義系統-水上) 
01F2714S ,(水上-嘉義系統) 
01F2827N ,(新營服務區-嘉義系統) 
01F2827S ,(嘉義系統-新營服務區) 
01F2866N ,(新營-新營服務區) 
01F2866S ,(新營服務區-新營) 
01F2930N ,(下營系統-新營) 
01F2930S ,(新營-下營系統) 
01F3019N ,(麻豆-下營系統) 
01F3019S ,(下營系統-麻豆) 
01F3083N ,(安定-麻豆) 
01F3083S ,(麻豆-安定) 
01F3126N ,(台南系統-安定) 
01F3126S ,(安定-台南系統) 
01F3185N ,(永康-台南系統) 
01F3185S ,(台南系統-永康) 
01F3227N ,(大灣-永康) 
01F3227S ,(永康-大灣) 
01F3252N ,(台南-大灣) 
01F3252S ,(大灣-台南) 
01F3286N ,(仁德系統-台南) 
01F3286S ,(台南-仁德系統) 
01F3366N ,(?竹-仁德系統) 
01F3366S ,(仁德系統-?竹) 
01F3398N ,(高科-?竹) 
01F3398S ,(?竹-高科) 
01F3460N ,(岡山-高科) 
01F3460S ,(高科-岡山) 
01F3525N ,(楠梓(?)-岡山) 
01F3525S ,(岡山-楠梓(?)) 
01F3559N ,(楠梓(南)-楠梓(?)) 
01F3561S ,(楠梓(?)-楠梓(南)) 
01F3590N ,(鼎?系統-楠梓(南)) 
01F3590S ,(楠梓(南)-鼎?系統) 
01F3640N ,(高雄(?)-鼎?系統) 
01F3640S ,(鼎?系統-高雄(?)) 
01F3676N ,(高雄(南)-高雄(?)) 
01F3676S ,(高雄(?)-高雄(南)) 
01F3686S ,(高雄(中正、三多?)-瑞??南下出口匝道) 
01F3696N ,(高雄(中正?)-五甲系統(?接台88)) 
01F3736N ,(高雄端(B)-高雄端(A)) 
01F3736S ,(高雄端(A)-高雄端(B)) 
01H0163S ,(汐止&汐止系統(南)-堤頂) 
